CaptureSignal II -  INSA de Lyon - MATEIS / SGM - JF -  2007 -
Utilisateur: 

Description: 

N°	Date	Heure	Temps (s)	Voie 0 T éch(°C)	Voie 1 T Four(°C)	Voie 2 DL (1/10 mm)	Voie 3 	Voie 4 	Voie 5 	Voie 6 	Voie 7 	Voie 0 volts	Voie 1 volts	Voie 2 volts	Voie 3 volts	Voie 4 volts 	Voie 5 volts	Voie 6 volts	Voie 7 volts	Incident n°	Incident txt
79	30-09-2015	09:23:16	390.00	138.3	143.5	0.007	0	0	0	0	0	-0.504541	-0.511087	0.006639	0.000000	0.000000	0.000000	0.000000	0.000000	0		
80	30-09-2015	09:23:21	395.00	138.4	143.5	0.007	0	0	0	0	0	-0.504634	-0.511082	0.006746	0.000000	0.000000	0.000000	0.000000	0.000000	0		
81	30-09-2015	09:23:26	400.00	138.5	143.5	0.007	0	0	0	0	0	-0.504671	-0.511085	0.006671	0.000000	0.000000	0.000000	0.000000	0.000000	0		
82	30-09-2015	09:23:31	405.00	138.5	143.5	0.007	0	0	0	0	0	-0.504773	-0.511100	0.006801	0.000000	0.000000	0.000000	0.000000	0.000000	0		
83	30-09-2015	09:23:36	410.00	138.6	143.5	0.007	0	0	0	0	0	-0.504832	-0.511082	0.006890	0.000000	0.000000	0.000000	0.000000	0.000000	0		
84	30-09-2015	09:23:41	415.00	138.7	143.5	0.007	0	0	0	0	0	-0.504948	-0.511128	0.006935	0.000000	0.000000	0.000000	0.000000	0.000000	0		
85	30-09-2015	09:23:46	420.00	138.7	143.5	0.007	0	0	0	0	0	-0.505002	-0.511110	0.006877	0.000000	0.000000	0.000000	0.000000	0.000000	0		
86	30-09-2015	09:23:51	425.00	138.8	143.5	0.007	0	0	0	0	0	-0.505067	-0.511084	0.006963	0.000000	0.000000	0.000000	0.000000	0.000000	0		
87	30-09-2015	09:23:56	430.00	138.9	143.5	0.007	0	0	0	0	0	-0.505178	-0.511068	0.007091	0.000000	0.000000	0.000000	0.000000	0.000000	0		
88	30-09-2015	09:24:01	435.00	138.9	143.5	0.007	0	0	0	0	0	-0.505204	-0.511054	0.007063	0.000000	0.000000	0.000000	0.000000	0.000000	0		
89	30-09-2015	09:24:06	440.00	139.0	143.5	0.007	0	0	0	0	0	-0.505305	-0.511037	0.007095	0.000000	0.000000	0.000000	0.000000	0.000000	0		
90	30-09-2015	09:24:11	445.00	139.0	143.5	0.007	0	0	0	0	0	-0.505341	-0.511054	0.007182	0.000000	0.000000	0.000000	0.000000	0.000000	0		
91	30-09-2015	09:24:16	450.00	139.0	143.5	0.007	0	0	0	0	0	-0.505420	-0.511039	0.007234	0.000000	0.000000	0.000000	0.000000	0.000000	0		
92	30-09-2015	09:24:21	455.00	139.1	143.4	0.007	0	0	0	0	0	-0.505488	-0.511016	0.007217	0.000000	0.000000	0.000000	0.000000	0.000000	0		
93	30-09-2015	09:24:26	460.00	139.1	143.5	0.007	0	0	0	0	0	-0.505522	-0.511022	0.007274	0.000000	0.000000	0.000000	0.000000	0.000000	0		
94	30-09-2015	09:24:31	465.00	139.2	143.5	0.007	0	0	0	0	0	-0.505583	-0.511023	0.007302	0.000000	0.000000	0.000000	0.000000	0.000000	0		
95	30-09-2015	09:24:36	470.00	139.2	143.4	0.007	0	0	0	0	0	-0.505681	-0.510992	0.007376	0.000000	0.000000	0.000000	0.000000	0.000000	0		
96	30-09-2015	09:24:41	475.00	139.3	143.4	0.007	0	0	0	0	0	-0.505742	-0.511017	0.007416	0.000000	0.000000	0.000000	0.000000	0.000000	0		
