CaptureSignal II -  INSA de Lyon - MATEIS / SGM - JF -  2010																					
Utilisateur: 																					
																					
Description: 																					
																					
N?	Date	Heure	Temps (s)	Voie 0 U(V)	Voie 1 I(A)	Voie 2 	Voie 3 	Voie 4 	Voie 5 	Voie 6 	Voie 7 	Voie 0 volts	Voie 1 volts	Voie 2 volts	Voie 3 volts	Voie 4 volts 	Voie 5 volts	Voie 6 volts	Voie 7 volts	Incident n?	Incident txt
107	09/10/2013	09:11:52	10.60	9.0641870	1.3642430	0	0	0	0	0	0	9.082352	1.312857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
108	09/10/2013	09:11:52	10.70	9.0639095	1.3645717	0	0	0	0	0	0	9.082073	1.313176	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
109	09/10/2013	09:11:52	10.80	9.0637665	1.3644170	0	0	0	0	0	0	9.081930	1.313026	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
110	09/10/2013	09:11:52	10.90	9.0636644	1.3642263	0	0	0	0	0	0	9.081828	1.312841	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
111	09/10/2013	09:11:53	11.00	9.0635796	1.3641502	0	0	0	0	0	0	9.081742	1.312767	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
112	09/10/2013	09:11:53	11.10	9.0634880	1.3640449	0	0	0	0	0	0	9.081651	1.312665	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
113	09/10/2013	09:11:53	11.20	9.0634108	1.3642502	0	0	0	0	0	0	9.081573	1.312864	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
114	09/10/2013	09:11:53	11.30	9.0634289	1.3642700	0	0	0	0	0	0	9.081593	1.312883	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
115	09/10/2013	09:11:53	11.40	9.0634108	1.3640455	0	0	0	0	0	0	9.081574	1.312665	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
116	09/10/2013	09:11:53	11.50	9.0634480	1.3642870	0	0	0	0	0	0	9.081612	1.312900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
117	09/10/2013	09:11:53	11.60	9.0635805	1.3644892	0	0	0	0	0	0	9.081744	1.313096	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
118	09/10/2013	09:11:53	11.70	9.0635691	1.3640336	0	0	0	0	0	0	9.081733	1.312654	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
119	09/10/2013	09:11:53	11.80	9.0635843	1.3641144	0	0	0	0	0	0	9.081747	1.312732	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
